Start date,PD_0_25,LD_0_25,RES_0_25,IMB_0_25,RIM_0_100
2025-11-20 00:00:00+01:00,12.5,12.5,12.5,12.5,50.0
2025-11-20 01:00:00+01:00,12.5,12.5,12.5,12.5,50.0
2025-11-20 02:00:00+01:00,12.5,12.5,12.5,12.5,50.0
2025-11-20 03:00:00+01:00,12.5,12.5,12.5,12.5,50.0
2025-11-20 04:00:00+01:00,12.5,12.5,12.5,12.5,50.0
2025-11-20 05:00:00+01:00,3.25934075315841,12.5,7.919542751249237,12.5,34.33075165503933
2025-11-20 06:00:00+01:00,2.665367348591478,12.5,9.438648956966707,12.5,35.13708977527648
2025-11-20 07:00:00+01:00,22.753648968319805,12.5,17.250081375343278,12.5,67.05446013732706
2025-11-20 08:00:00+01:00,21.962093891250273,12.5,16.273410330730524,12.5,65.12792300023085
2025-11-20 09:00:00+01:00,20.821940510400914,12.5,10.608217120714814,12.5,58.09454573319591
2025-11-20 10:00:00+01:00,18.21162476033879,12.5,14.871107287307902,12.5,59.22505699971445
2025-11-20 11:00:00+01:00,15.311281127578164,12.5,14.019340624719092,12.5,54.89287797781289
2025-11-20 12:00:00+01:00,10.925552027573811,12.5,12.11306118869175,12.5,47.72372362178032
2025-11-20 13:00:00+01:00,10.372488667392899,12.5,13.80353929853233,12.5,48.75052569940381
2025-11-20 14:00:00+01:00,10.410119796234529,12.5,16.5923941903322,12.5,51.584537945813636
2025-11-20 15:00:00+01:00,16.952336994488228,12.5,12.364504235284542,12.5,55.20730862867042
2025-11-20 16:00:00+01:00,21.96532412308663,12.5,20.410094691582536,12.5,69.2684836392865
2025-11-20 17:00:00+01:00,18.724053527079445,12.5,18.782723847208707,12.5,63.75158807970404
2025-11-20 18:00:00+01:00,13.665693882869556,12.5,20.14290017648605,12.5,59.04173283592952
2025-11-20 19:00:00+01:00,14.053625455775535,12.5,18.412966823643675,12.5,57.777317370574316
2025-11-20 20:00:00+01:00,15.07154369232128,12.5,15.741015161683395,12.5,56.32686759246893
2025-11-20 21:00:00+01:00,15.40911169146747,12.5,5.828432838691083,12.5,46.81936686845204
2025-11-20 22:00:00+01:00,10.990161771387086,12.5,6.475463393104411,12.5,42.163657518768915
2025-11-20 23:00:00+01:00,8.339700377188239,12.5,5.709953895146789,12.5,38.217594347772675
2025-11-21 00:00:00+01:00,14.551060266937332,12.5,5.944213473114196,12.5,45.905485793439
2025-11-21 01:00:00+01:00,9.586484051363326,12.5,7.10876437904559,12.5,41.112545240681584
2025-11-21 02:00:00+01:00,9.084095123082196,12.5,8.150657494150519,12.5,41.55157164184915
2025-11-21 03:00:00+01:00,10.099400824355051,12.5,7.007829616385641,12.5,41.627110605611705
2025-11-21 04:00:00+01:00,11.803214388975562,12.5,7.075858646938463,12.5,43.739715913709134
2025-11-21 05:00:00+01:00,12.188269147480476,12.5,4.751661395788713,12.5,41.877584372765284
2025-11-21 06:00:00+01:00,21.41886371584313,12.5,7.100550181528148,12.5,55.303186640539906
2025-11-21 07:00:00+01:00,17.53225782629091,12.5,11.382540627606023,12.5,54.92125001915511
2025-11-21 08:00:00+01:00,15.173103122276244,12.5,13.304350870421683,12.5,54.012074617153175
2025-11-21 09:00:00+01:00,13.082225377255025,12.5,6.226968766363237,12.5,44.42563921906927
2025-11-21 10:00:00+01:00,17.74818816852502,12.5,5.620090299732435,12.5,49.417916101962454
2025-11-21 11:00:00+01:00,17.334347725428028,12.5,5.021463899965872,12.5,48.322681170479505
2025-11-21 12:00:00+01:00,12.866291685366424,12.5,4.146102167634908,12.5,42.08565219007461
2025-11-21 13:00:00+01:00,16.640576111501808,12.5,6.164799901883285,12.5,48.633491235685455
2025-11-21 14:00:00+01:00,19.660772343271997,12.5,10.517260241758642,12.5,56.61018705368504
2025-11-21 15:00:00+01:00,24.0155791593501,12.5,9.156328919993479,12.5,60.4750239112136
2025-11-21 16:00:00+01:00,24.4161456248302,12.5,3.8710287487669235,12.5,55.67040349856317
2025-11-21 17:00:00+01:00,21.21022125790116,12.5,13.856775100518584,12.5,61.809040609999975
2025-11-21 18:00:00+01:00,14.430422334364486,12.5,17.389543729909036,12.5,57.20605053114642
2025-11-21 19:00:00+01:00,8.977314487921042,12.5,24.248426934930663,12.5,57.52120432043591
2025-11-21 20:00:00+01:00,9.071241356209187,12.5,22.4763983104663,12.5,55.861887937917324
2025-11-21 21:00:00+01:00,9.158880046045429,12.5,17.0865176649184,12.5,50.57717372017291
2025-11-21 22:00:00+01:00,7.213250926383835,12.5,13.782372873961474,12.5,44.938273985622075
2025-11-21 23:00:00+01:00,5.563056548854065,12.5,3.7301771114096214,12.5,32.905844970034494
2025-11-22 00:00:00+01:00,8.61584309584805,12.5,14.574852659116106,12.5,47.413864374133766
2025-11-22 01:00:00+01:00,7.192109651678141,12.5,11.91980688248511,12.5,43.05033846449888
2025-11-22 02:00:00+01:00,5.989333073166925,12.5,10.9938383682853,12.5,40.68103805608561
2025-11-22 03:00:00+01:00,6.157516539361185,12.5,18.911979135142857,12.5,48.80099898237628
2025-11-22 04:00:00+01:00,8.95008578351715,12.5,18.994233263314612,12.5,52.23433620353519
2025-11-22 05:00:00+01:00,10.258735142696064,12.5,18.968011887234344,12.5,53.77849405846962
2025-11-22 06:00:00+01:00,14.473973993604755,12.5,23.80646869988108,12.5,63.67523749220679
2025-11-22 07:00:00+01:00,20.192205237742595,12.5,23.074536378628153,12.5,69.80518266391927
2025-11-22 08:00:00+01:00,16.832516679311023,12.5,19.49265415707199,12.5,62.19167417224522
